Measure Names,Municipio,Measure Values
Básicos Densidad poblacional (hab/km2),Camargo,3.6
Básicos Población,Camargo,"49,499"
Escolaridad Básica,Camargo,0.572
Escolaridad Media superior,Camargo,0.235
Escolaridad Sin escolaridad,Camargo,0.029
Escolaridad Superior,Camargo,0.161
PEA Hombres,Camargo,0.602
PEA Mujeres,Camargo,0.398
PEA Población Económicamente Activa,Camargo,0.613
PEA Población no económicamente activa,Camargo,0.384
TIC Computadora,Camargo,0.343
TIC Internet,Camargo,0.476
TIC Línea telefónica fija,Camargo,0.344
TIC Televisión de paga,Camargo,0.527
TIC Teléfono celular,Camargo,0.913
Cajeros Automáticos Total,Camargo,26
Créditos Total,Camargo,"28,546"
Cuentas Total,Camargo,"50,720"
Medios de pago - transacciones en TPV Total,Camargo,"67,757"
Remesas Ingreso por remesas por persona,Camargo,811
Remesas Millones de dólares,Camargo,401
Sucursales Banca de desarrollo,Camargo,1
Sucursales Banca múltiple,Camargo,7
Sucursales SOCAP,Camargo,1
Sucursales SOFIPO,Camargo,1
Sucursales Total,Camargo,10
Terminales punto de venta Agregadores,Camargo,754
Terminales punto de venta Banca múltiple,Camargo,552
Terminales punto de venta Total,Camargo,"1,858"
Terminales punto de venta Total sin agregadores,Camargo,552
Básicos Densidad poblacional (hab/km2),Delicias,282.3
Básicos Población,Delicias,"150,506"
Escolaridad Básica,Delicias,0.491
Escolaridad Media superior,Delicias,0.267
Escolaridad Sin escolaridad,Delicias,0.024
Escolaridad Superior,Delicias,0.216
PEA Hombres,Delicias,0.575
PEA Mujeres,Delicias,0.425
PEA Población Económicamente Activa,Delicias,0.619
PEA Población no económicamente activa,Delicias,0.38
TIC Computadora,Delicias,0.414
TIC Internet,Delicias,0.591
TIC Línea telefónica fija,Delicias,0.387
TIC Televisión de paga,Delicias,0.562
TIC Teléfono celular,Delicias,0.941
Cajeros Automáticos Total,Delicias,94
Créditos Total,Delicias,"102,913"
Cuentas Total,Delicias,"217,348"
Medios de pago - transacciones en TPV Total,Delicias,"348,342"
Remesas Ingreso por remesas por persona,Delicias,693
Remesas Millones de dólares,Delicias,"1,043"
Sucursales Banca de desarrollo,Delicias,1
Sucursales Banca múltiple,Delicias,24
Sucursales SOCAP,Delicias,7
Sucursales SOFIPO,Delicias,2
Sucursales Total,Delicias,34
Terminales punto de venta Agregadores,Delicias,"2,696"
Terminales punto de venta Banca múltiple,Delicias,"2,141"
Terminales punto de venta Total,Delicias,"6,978"
Terminales punto de venta Total sin agregadores,Delicias,"2,141"
Básicos Densidad poblacional (hab/km2),Julimes,1.2
Básicos Población,Julimes,"4,980"
Escolaridad Básica,Julimes,0.707
Escolaridad Media superior,Julimes,0.203
