Measure Names,Municipio,Measure Values
Brechas de género en Créditos** Banca Banca de desarrollo (Brecha),Camargo,-999
Brechas de género en Créditos** Banca de desarrollo (Hombres),Camargo,26
Brechas de género en Créditos** Banca de desarrollo (Mujeres),Camargo,56
Brechas de género en Créditos** Banca múltiple (Brecha),Camargo,23
Brechas de género en Créditos** Banca múltiple (Hombres),Camargo,6740
Brechas de género en Créditos** Banca múltiple (Mujeres),Camargo,7059
Brechas de género en Créditos** SOCAP (Brecha),Camargo,139
Brechas de género en Créditos** SOCAP (Hombres),Camargo,1414
Brechas de género en Créditos** SOCAP (Mujeres),Camargo,1872
Brechas de género en Créditos** SOFIPO (Brecha),Camargo,-999
Brechas de género en Créditos** SOFIPO (Hombres),Camargo,5
Brechas de género en Créditos** SOFIPO (Mujeres),Camargo,4
Brechas de género en Créditos** Total créditos (Brechas),Camargo,47
Brechas de género en Créditos** Total créditos (Hombres),Camargo,8185
Brechas de género en Créditos** Total créditos (Mujeres),Camargo,8991
Brechas de género en Cuentas** Banca Banca de desarrollo (Brecha),Camargo,-999
Brechas de género en Cuentas** Banca de desarrollo (Hombres),Camargo,0
Brechas de género en Cuentas** Banca de desarrollo (Mujeres),Camargo,0
Brechas de género en Cuentas** Banca múltiple (Brecha),Camargo,17
Brechas de género en Cuentas** Banca múltiple (Hombres),Camargo,17209
Brechas de género en Cuentas** Banca múltiple (Mujeres),Camargo,17813
Brechas de género en Cuentas** SOCAP (Brecha),Camargo,152
Brechas de género en Cuentas** SOCAP (Hombres),Camargo,6068
Brechas de género en Cuentas** SOCAP (Mujeres),Camargo,8248
Brechas de género en Cuentas** SOFIPO (Brecha),Camargo,358
Brechas de género en Cuentas** SOFIPO (Hombres),Camargo,168
Brechas de género en Cuentas** SOFIPO (Mujeres),Camargo,355
Brechas de género en Cuentas** Total cuentas (Brechas),Camargo,6
Brechas de género en Cuentas** Total cuentas (Hombres),Camargo,23445
Brechas de género en Cuentas** Total cuentas (Mujeres),Camargo,26416
Cajeros Automáticos Banca de desarrollo,Camargo,0
Cajeros Automáticos Banca múltiple,Camargo,24
Cajeros Automáticos SOCAP,Camargo,2
Cajeros Automáticos SOFIPO,Camargo,0
Cajeros Automáticos Total,Camargo,26
Corresponsales Máximos,Camargo,24
Créditos Banca de desarrollo,Camargo,82
Créditos Banca múltiple,Camargo,25169
Créditos SOCAP,Camargo,3286
Créditos SOFIPO,Camargo,9
Créditos Total,Camargo,28546
Cuentas Banca de desarrollo,Camargo,0
Cuentas Banca múltiple,Camargo,35880
Cuentas SOCAP,Camargo,14316
Cuentas SOFIPO,Camargo,524
Cuentas Total,Camargo,50720
Medios de pago - transacciones en TPV Banca de desarrollo,Camargo,0
Medios de pago - transacciones en TPV Banca múltiple,Camargo,67757
Medios de pago - transacciones en TPV SOCAP,Camargo,0
Medios de pago - transacciones en TPV SOFIPO,Camargo,0
Medios de pago - transacciones en TPV Total,Camargo,67757
Remesas Ingreso por remesas por persona,Camargo,811
Remesas Millones de dólares,Camargo,401
Sucursales Banca de desarrollo,Camargo,1
Sucursales Banca múltiple,Camargo,7
Sucursales SOCAP,Camargo,1
Sucursales SOFIPO,Camargo,1
Sucursales Total,Camargo,10
Terminales punto de venta Agregadores,Camargo,754
Terminales punto de venta Banca de desarrollo,Camargo,0
Terminales punto de venta Banca múltiple,Camargo,552
Terminales punto de venta SOCAP,Camargo,0
Terminales punto de venta SOFIPO,Camargo,0
Terminales punto de venta Total,Camargo,1858
Terminales punto de venta Total sin agregadores,Camargo,552
Básicos Densidad poblacional (hab/km2),Camargo,3.6
Básicos Hombres,Camargo,0.494
Básicos Mujeres,Camargo,0.506
Básicos Población,Camargo,49499
Básicos Superficie (km2),Camargo,13747
Básicos Total localidades,Camargo,363
Básicos Total viviendas particulares habitadas,Camargo,15672
Escolaridad 15 a 24 años,Camargo,0.98
Escolaridad 25 años o más,Camargo,0.972
Escolaridad Básica,Camargo,0.572
Escolaridad Media superior,Camargo,0.235
Escolaridad Sin escolaridad,Camargo,0.029
Escolaridad Superior,Camargo,0.161
PEA Con alguna limitación física o mental,Camargo,0.025
PEA Dedicadas a quehaceres del hogar,Camargo,0.446
PEA En otras actividades no económicas,Camargo,0.092
PEA Estudiantes,Camargo,0.329
