Measure Names,Municipio,Measure Values
Básicos Densidad poblacional (hab/km2),Delicias,282.3
Básicos Población,Delicias,"150,506"
Escolaridad Básica,Delicias,0.491
Escolaridad Media superior,Delicias,0.267
Escolaridad Sin escolaridad,Delicias,0.024
Escolaridad Superior,Delicias,0.216
PEA Hombres,Delicias,0.575
PEA Mujeres,Delicias,0.425
PEA Población Económicamente Activa,Delicias,0.619
PEA Población no económicamente activa,Delicias,0.38
TIC Computadora,Delicias,0.414
TIC Internet,Delicias,0.591
TIC Línea telefónica fija,Delicias,0.387
TIC Televisión de paga,Delicias,0.562
TIC Teléfono celular,Delicias,0.941
Créditos Total,Delicias,"102,913"
Cuentas Total,Delicias,"217,348"
[Cuentas Total]/[Población*],Delicias,1.444115185
Medios de pago - transacciones en TPV Total,Delicias,"348,342"
Remesas Ingreso por remesas por persona,Delicias,693
Remesas Millones de dólares,Delicias,"1,043"
Cajeros Automáticos Total,Delicias,94
[Cajeros Automáticos Total]/[Población*] * 1000,Delicias,0.624559818
[Cajeros Automáticos Total]/[Básicos Densidad poblacional (ha...,Delicias,"3,329.791002480"
[Cajeros Automáticos Total]/[Básicos Superficie (km2)] *1000,Delicias,176.327143125
Sucursales Total,Delicias,34
[Sucursales Total]/ [Población*] *10000,Delicias,2.259046151
Corresponsales Máximos,Delicias,57
[Corresponsales Máximos]/[Población*]*10000,Delicias,3.787224430
Terminales punto de venta Banca múltiple,Delicias,"2,141"
Terminales punto de venta Agregadores,Delicias,"2,696"
Terminales punto de venta Total,Delicias,"6,978"
Terminales punto de venta Total sin agregadores,Delicias,"2,141"
Créditos Banca de desarrollo,Delicias,"2,115"
Créditos Banca múltiple,Delicias,"78,765"
Créditos SOCAP,Delicias,"21,846"
Créditos SOFIPO,Delicias,187
Cuentas Banca de desarrollo,Delicias,"5,639"
Cuentas Banca múltiple,Delicias,"140,006"
Cuentas SOCAP,Delicias,"69,610"
Cuentas SOFIPO,Delicias,"2,093"
Medios de pago - transacciones en TPV Banca de desarrollo,Delicias,0
Medios de pago - transacciones en TPV Banca múltiple,Delicias,"348,342"
Medios de pago - transacciones en TPV SOCAP,Delicias,0
Medios de pago - transacciones en TPV SOFIPO,Delicias,0
Básicos Densidad poblacional (hab/km2),Meoqui,104.5
Básicos Población,Meoqui,"44,853"
Escolaridad Básica,Meoqui,0.629
Escolaridad Media superior,Meoqui,0.208
Escolaridad Sin escolaridad,Meoqui,0.033
Escolaridad Superior,Meoqui,0.128
PEA Hombres,Meoqui,0.619
PEA Mujeres,Meoqui,0.381
PEA Población Económicamente Activa,Meoqui,0.597
PEA Población no económicamente activa,Meoqui,0.401
TIC Computadora,Meoqui,0.318
TIC Internet,Meoqui,0.447
TIC Línea telefónica fija,Meoqui,0.244
TIC Televisión de paga,Meoqui,0.545
TIC Teléfono celular,Meoqui,0.93
Créditos Total,Meoqui,"22,741"
Cuentas Total,Meoqui,"45,464"
[Cuentas Total]/[Población*],Meoqui,1.013622277
Medios de pago - transacciones en TPV Total,Meoqui,"65,222"
Remesas Ingreso por remesas por persona,Meoqui,852
Remesas Millones de dólares,Meoqui,382
Cajeros Automáticos Total,Meoqui,19
[Cajeros Automáticos Total]/[Población*] * 1000,Meoqui,0.423606002
